,date,open,close,high,low,value,volume,sentiment_score,MA7,MA20,MACD,20SD,upper_band,lower_band,EMA,logmomentum
75,2025-04-09,280.91,293.4,294.48,276.33,31178982733.200012,109378190.0,0.3825169791694594,289.39428571428573,304.7525,6.892534778189258,14.02169104412319,332.7958820882464,276.7091179117536,290.287556835634,5.678122727875623
76,2025-04-10,294.09,292.21,296.75,291.55,14533935000.900002,49360530.0,-0.04674391616487931,287.98285714285714,303.098,6.362024382894504,13.408394307102489,329.914788614205,276.281211385795,291.569185611878,5.674044656392245
77,2025-04-11,293.0,299.81,300.48,292.8,15032498602.80003,50418210.0,0.16887459643471622,290.04857142857145,301.88599999999997,6.584484065373886,12.47811026515933,326.8422205303186,276.9297794696813,297.063061870626,5.69980791990079
78,2025-04-12,300.18,300.95,301.8,300.03,1390132352.4999988,4615240.0,0.02510617948145423,292.33,300.7705,5.741364719279318,11.419058157769705,323.60861631553945,277.9323836844606,299.65435395687535,5.703615794099102
79,2025-04-13,300.88,301.49,301.99,300.01,1229399056.6000006,4079210.0,-0.08316077710509762,293.9214285714285,299.8715,4.9565388319894055,10.543606830681801,320.9587136613636,278.78428633863643,300.8781179856251,5.705414475551326
80,2025-04-14,301.49,296.5,302.4,295.13,10383449717.100002,34768950.0,-0.14262421273228298,295.1985714285714,298.7065,3.8279110659873936,9.457001458123322,317.62050291624666,279.79249708375335,297.959372661875,5.688668836846153
81,2025-04-15,296.51,297.99,300.45,295.6,7237200065.199996,24258710.0,0.05776561828348681,297.4785714285714,297.84450000000004,3.719886580906177,8.620322057117113,315.08514411423425,280.6038558857658,297.9797908872917,5.693698468202181
82,2025-04-16,298.0,300.8,303.3,296.06,9025534176.099997,30103500.0,0.14892123579832905,298.5357142857143,297.28650000000005,3.5889896248983177,7.997201665187808,313.2809033303757,281.2920966696244,299.8599302957639,5.703115585668497
83,2025-04-17,300.89,304.8,305.07,300.41,11378109269.200005,37579800.0,0.07767185479918924,300.3342857142857,297.1245,3.3295866004584695,7.798243712529015,312.72098742505807,281.52801257494195,303.15331009858795,5.716369590161673
84,2025-04-18,302.7,300.01,303.85,296.25,13843312685.900003,46147920.0,-0.111398638128177,300.36285714285714,296.9305,2.4991811744860115,7.668256149113647,312.2670122982273,281.5939877017727,301.05777003286266,5.700477017647475
85,2025-04-21,302.67,308.12,308.7,301.76,15696937031.399996,51260130.0,0.11797523460450929,301.38714285714286,297.3755,2.395600579011955,8.05652234952647,313.4885446990529,281.26245530094707,305.76592334428756,5.727238550692542
86,2025-04-22,308.5,312.25,315.0,306.55,19986720462.29999,64482010.0,0.1427094606999035,302.92428571428576,297.50200000000007,1.7586448326267714,8.27738682384588,314.05677364769184,280.9472263523083,310.08864111476254,5.740596447778917
87,2025-04-23,313.0,310.0,314.98,305.55,18205856288.000015,58851190.0,-0.06008984089600457,304.8528571428572,297.84000000000003,0.42314428890097133,8.653499444246677,315.1469988884934,280.5330011115067,310.0295470382542,5.733341276897746
88,2025-04-24,310.77,310.16,312.8,309.09,7504459729.800006,24120000.0,-0.04218965105699374,306.5914285714286,298.0425,-0.3072497939690493,8.901056634497111,315.84461326899424,280.2403867310058,310.1165156794181,5.733858942238671
89,2025-04-25,310.85,316.69,317.87,310.71,16278145183.500025,51763570.0,0.17483936736862699,308.8614285714285,298.7725,-0.4110685882654934,9.803426831041172,318.37935366208234,279.1656463379176,314.498838559806,5.754760719420831
90,2025-04-26,318.42,317.58,320.26,317.0,3030912426.400002,9511000.0,-0.016247191906574726,310.6871428571429,300.38399999999996,-1.5197897512111354,10.124634574302304,320.63326914860454,280.1347308513954,316.552946186602,5.757575974257592
91,2025-04-27,318.2,318.18,318.97,317.39,711972353.0999999,2238080.0,0.047929421159217535,313.28285714285715,302.044,-2.302361262003444,10.187605162518269,322.41921032503654,281.6687896749634,317.63764872886736,5.759469436070455
92,2025-04-28,318.36,314.23,320.0,313.52,16579805833.899977,52315790.0,-0.13851353468763083,314.1557142857143,303.23799999999994,-3.206904605589102,10.144209963790903,323.52641992758174,282.94958007241814,315.3658829096225,5.746937744970129
93,2025-04-29,314.99,309.41,315.45,308.1,9421538560.5,30249990.0,-0.15716068258092653,313.75,304.33050000000003,-3.764940256428474,9.524532575904974,323.37956515180997,285.2814348481901,311.3952943032075,5.731430066585013
94,2025-04-30,309.28,307.8,309.95,303.12,12646916301.799995,41266290.0,-0.057869179525007426,313.4357142857143,305.61899999999997,-3.463708114555459,7.964190182508181,321.54738036501635,289.6906196349836,308.9984314344025,5.726196069493101
